Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.198400	-0.198400
1	0.950747	750	-0.194784	-0.393184
2	0.926679	750	-0.191354	-0.584538
3	0.902980	750	-0.193220	-0.777758
4	0.879648	750	-0.187617	-0.965375
5	0.856682	750	-0.183792	-1.149167
6	0.834079	750	-0.182577	-1.331744
7	0.811838	750	-0.179640	-1.511384
8	0.789957	750	-0.173004	-1.684388
9	0.768433	750	-0.173135	-1.857523
10	0.747266	750	-0.170309	-2.027832
11	0.726452	750	-0.168110	-2.195942
12	0.705989	750	-0.167733	-2.363675
13	0.685877	750	-0.161359	-2.525034
14	0.666112	750	-0.161424	-2.686458
15	0.646693	750	-0.157811	-2.844269
16	0.627618	750	-0.155606	-2.999874
17	0.608884	750	-0.150442	-3.150317
18	0.590490	750	-0.149439	-3.299756
19	0.572433	750	-0.146589	-3.446344
20	0.554712	750	-0.145450	-3.591794
21	0.537324	750	-0.141872	-3.733666
22	0.520268	750	-0.140933	-3.874599
23	0.503540	750	-0.137207	-4.011805
24	0.487139	750	-0.134606	-4.146411
25	0.471063	750	-0.131429	-4.277840
26	0.455310	750	-0.131484	-4.409324
27	0.439877	750	-0.126951	-4.536275
28	0.424762	750	-0.122701	-4.658976
29	0.409963	750	-0.119736	-4.778712
30	0.395478	750	-0.118912	-4.897624
31	0.381305	750	-0.116266	-5.013890
32	0.367440	750	-0.112463	-5.126353
33	0.353883	750	-0.112759	-5.239113
34	0.340630	750	-0.109309	-5.348421
35	0.327680	750	-0.107884	-5.456305
36	0.315030	750	-0.104899	-5.561204
37	0.302677	750	-0.105199	-5.666403
38	0.290619	750	-0.100587	-5.766990
39	0.278855	750	-0.101400	-5.868390
40	0.267381	750	-0.094868	-5.963258
41	0.256195	750	-0.093196	-6.056454
42	0.245294	750	-0.092125	-6.148579
43	0.234677	750	-0.088984	-6.237563
44	0.224340	750	-0.090163	-6.327725
45	0.214281	750	-0.084214	-6.411939
46	0.204498	750	-0.084116	-6.496055
47	0.194988	750	-0.081261	-6.577317
48	0.185749	750	-0.076930	-6.654247
49	0.176777	750	-0.076282	-6.730529
50	0.168070	750	-0.074642	-6.805171
51	0.159626	750	-0.072013	-6.877184
52	0.151441	750	-0.067839	-6.945023
53	0.143514	750	-0.067786	-7.012809
54	0.135841	750	-0.063848	-7.076657
55	0.128420	750	-0.062423	-7.139080
56	0.121247	750	-0.060738	-7.199818
57	0.114320	750	-0.059604	-7.259422
58	0.107637	750	-0.057328	-7.316750
59	0.101193	750	-0.055809	-7.372559
60	0.094986	750	-0.053585	-7.426145
61	0.089014	750	-0.050703	-7.476848
62	0.083273	750	-0.048350	-7.525199
63	0.077760	750	-0.046711	-7.571909
64	0.072472	750	-0.046164	-7.618073
65	0.067406	750	-0.043582	-7.661655
66	0.062558	750	-0.041783	-7.703438
67	0.057926	750	-0.040024	-7.743462
68	0.053506	750	-0.037178	-7.780640
69	0.049295	750	-0.036939	-7.817579
70	0.045289	750	-0.034303	-7.851882
71	0.041485	750	-0.032317	-7.884199
72	0.037880	750	-0.031603	-7.915802
73	0.034469	750	-0.029491	-7.945293
74	0.031250	750	-0.029789	-7.975083
75	0.028218	750	-0.026130	-8.001213
76	0.025370	750	-0.024847	-8.026060
77	0.022702	750	-0.022775	-8.048835
78	0.020209	750	-0.022884	-8.071719
79	0.017889	750	-0.020353	-8.092073
80	0.015736	750	-0.018822	-8.110895
81	0.013746	750	-0.017558	-8.128452
82	0.011916	750	-0.016007	-8.144460
83	0.010240	750	-0.014437	-8.158897
84	0.008714	750	-0.014018	-8.172915
85	0.007334	750	-0.012172	-8.185087
86	0.006093	750	-0.010811	-8.195898
87	0.004988	750	-0.009538	-8.205436
88	0.004013	750	-0.008379	-8.213814
89	0.003162	750	-0.007327	-8.221141
90	0.002430	750	-0.006633	-8.227774
91	0.001810	750	-0.005795	-8.233569
92	0.001296	750	-0.004403	-8.237973
93	0.000882	750	-0.003670	-8.241643
94	0.000559	750	-0.002736	-8.244379
95	0.000320	750	-0.002094	-8.246472
96	0.000156	750	-0.001441	-8.247913
97	0.000057	750	-0.000863	-8.248776
98	0.000010	750	-0.000406	-8.249182
99	0.000000	750	-0.000085	-8.249267
Log marginal likelihood:	-8.249267
